gene	WT_0.5mM	WT_10mM	arp6_0.5mM	arp6_10mM	cluster_5_pearson	cluster_5_pearson_color
AT1G15080	-0.552454308594177	-0.8172923129379852	0.8742256286058878	0.49552099292627433	1	#8DD3C7
AT1G15150	-0.7251748988328044	-1.0318602966923518	1.265588868188623	0.49144632733653354	1	#8DD3C7
AT1G15300	-0.9423003851888512	-0.8107529618187611	1.267875346529204	0.48517800047840903	1	#8DD3C7
AT1G15460	-0.827399677054913	-0.9440353026124851	1.0184889758613265	0.7529460038060718	1	#8DD3C7
AT1G15520	-0.4631442662943642	0.6969817508926385	-0.1927470409278595	-0.04109044367041475	4	#FB8072
AT1G15540	-0.4491157365558263	-0.8786503923989416	1.4973139111485043	-0.16954778219373629	1	#8DD3C7
AT1G15625	-0.9243320777764448	-0.9366645246236371	1.145599833625147	0.7153967687749349	1	#8DD3C7
AT1G15700	0.820802587454827	0.7335945924973335	-0.5156259926219711	-1.0387711873301886	5	#80B1D3
AT1G15720	0.9674298040948279	0.8851976213861336	-1.0759676679410342	-0.7766597575399278	5	#80B1D3
AT1G15870	-0.524405044087581	-0.6905043627011239	0.7947828604894863	0.4201265462992188	1	#8DD3C7
AT1G15880	1.1295454152219753	0.7534409233284081	-0.9321061860441678	-0.9508801525062148	5	#80B1D3
AT1G15885	1.0098365782466932	0.8725572803868062	-0.9411969293167496	-0.9411969293167496	5	#80B1D3
AT1G15890	1.0674437357767965	0.7550697634523398	-0.9112567496145683	-0.9112567496145683	5	#80B1D3
AT1G15900	0.8230587526220523	0.9654813593391968	-0.9202362387861899	-0.8683038731750594	5	#80B1D3
AT1G16090	-0.16956420212793863	0.8929073113071171	-0.2559003558553115	-0.4674427533238674	4	#FB8072
AT1G16360	-0.4798452717579224	-0.7586698507769537	-0.07289971496994833	1.3114148375048242	2	#FFFFB3
AT1G16390	1.2322968714431268	0.4905130415000554	-0.8311340926196217	-0.8916758203235604	5	#80B1D3
AT1G16430	0.8002106423904944	0.8771333398101505	-0.5919784590770247	-1.0853655231236208	5	#80B1D3
AT1G16445	-1.029036486648334	-0.80391364414069	0.7667109097883757	1.0662392210006486	2	#FFFFB3
AT1G16570	1.0709240426423816	0.651551938146351	-0.9314297160007822	-0.7910462647879496	5	#80B1D3
AT1G16690	0.9563327144400057	0.8720851966491778	-1.0636836376833925	-0.7647342734057914	5	#80B1D3
AT1G16905	1.2950634195152362	0.4363348750849736	-0.7447512241027026	-0.9866470704975071	3	#BEBADA
AT1G17020	-1.011062190481979	-0.7421781984646519	0.5369960039984731	1.2162443849481581	2	#FFFFB3
AT1G17145	1.2289570825126306	0.6218846508858318	-0.8797626749366044	-0.9710790584618579	5	#80B1D3
AT1G17275	-0.5429987341420144	-0.5429987341420144	1.0360609177659514	0.049936550518077355	1	#8DD3C7
AT1G17330	1.0398725800641047	0.7658434979756996	-0.8993392446906379	-0.9063768333491663	5	#80B1D3
AT1G17870	1.1161861220824703	0.7608300311054897	-0.9516108508840994	-0.9254053023038609	5	#80B1D3
AT1G17940	0.7977480150218288	0.3035725499954785	-0.06761352407770875	-1.0337070409395983	5	#80B1D3
AT1G18265	-0.9211799110868433	-0.9614768244501573	0.8596174371768881	1.0230392983601126	1	#8DD3C7
AT1G18320	0.9741537219911488	0.7531299534232022	-0.9639173495250464	-0.7633663258893046	5	#80B1D3
AT1G18440	1.0387797873857596	0.6659074828112547	-0.7582057715927728	-0.9464814986042418	5	#80B1D3
AT1G18680	0.8550327390483833	0.9594339783560087	-0.8681265228133768	-0.9463401945910153	5	#80B1D3
AT1G18860	1.19513340083204	0.3404620832881844	-0.2959343312029574	-1.2396611529172665	3	#BEBADA
AT1G19025	0.9954829869572391	0.7889275133205261	-0.6336565284356234	-1.1507539718421416	5	#80B1D3
AT1G19050	0.7155004050941581	1.026365149787496	-1.0446727201906667	-0.6971928346909877	5	#80B1D3
AT1G19090	-0.7488473165273255	-0.7488473165273255	0.7146157633344216	0.7830788697202292	1	#8DD3C7
AT1G19485	1.1371556790522988	0.6767502812991051	-0.770458439997022	-1.0434475203543818	5	#80B1D3
AT1G19940	-0.5160917740911801	-0.5057725104408107	-0.23799992619376828	1.259864210725759	2	#FFFFB3
AT1G19980	1.1856688730520113	0.6131271914054968	-0.8434808364863917	-0.9553152279711156	5	#80B1D3
AT1G20030	0.8503427788155346	1.0267261421933662	-0.9875582026950758	-0.8895107183138254	5	#80B1D3
AT1G20140	1.1831328453171455	0.6263410791726827	-0.8301528084123929	-0.9793211160774343	5	#80B1D3
AT1G20350	-0.530219417961712	-1.140832704332014	0.9400662742447085	0.7309858480490177	1	#8DD3C7
AT1G20390	1.158769983725693	0.6703050667816702	-0.9145375252536818	-0.9145375252536818	5	#80B1D3
AT1G20400	0.8249782869287983	1.017794051685036	-0.9213861693069171	-0.9213861693069171	5	#80B1D3
AT1G21090	0.9205843989281353	0.720564938263814	-0.665940934150741	-0.9752084030412086	5	#80B1D3
AT1G21150	0.5466484087608755	1.1301825964907168	-1.0996947134967432	-0.5771362917548489	5	#80B1D3
AT1G21290	-0.7300976677626924	-0.7557801379143507	0.9700215006439	0.5158563050331427	1	#8DD3C7
AT1G21560	1.1588240051959637	0.6783569918289756	-1.083465639416066	-0.7537153576088735	5	#80B1D3
AT1G22065	-0.5622145840940671	-0.9797961579411033	0.8679595768950857	0.6740511651400845	1	#8DD3C7
AT1G22140	1.1713089717942413	0.6640717875264438	-0.8286821569285664	-1.0066986023921185	5	#80B1D3
AT1G22220	0.8849938328307725	0.784393005795217	-0.4507473476137619	-1.2186394910122271	5	#80B1D3
AT1G22440	1.2759369167755343	0.5438118505432763	-0.8971387910432094	-0.9226099762756012	5	#80B1D3
