gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G49970	498.31942810293907	-1.4333786532884665	0.15223426404569523	-9.415611276960737	4.703375756310228e-21	1.1689621577077978e-18
AT1G15625	92.8702158365952	3.375750539186762	0.35928476307164914	9.395752022229688	5.681052394154353e-21	1.397243000816442e-18
AT5G46900	322.69865614518193	-2.0394347021641805	0.21782206051591496	-9.36284735041872	7.761626635468029e-21	1.8892759431962438e-18
AT1G22590	76.93043793444768	-5.088440396325493	0.5459018638404851	-9.321163259139114	1.1507167488047505e-20	2.7724054240845882e-18
AT3G05350	941.8114675962261	1.1918058067569546	0.12842441602328833	9.28021200065908	1.6914168356918385e-20	4.0339437280323234e-18
AT1G73600	5097.870190237345	0.8180561492653862	0.08831876402005968	9.2625407334684	1.9962442622786378e-20	4.713332327666092e-18
AT2G29320	229.0518945361706	-1.9276668604928815	0.20846338891351107	-9.247028317728477	2.308206302457572e-20	5.395946436368884e-18
AT2G05380	2540.510521679766	-2.841090731585577	0.307507167678197	-9.23910409320523	2.4856972190312648e-20	5.753901670445803e-18
AT3G26070	947.5289862985865	-1.3262461653199251	0.14519023615647145	-9.134541002403427	6.568481721479133e-20	1.5057128342314932e-17
AT3G16520	522.3437739898914	-1.9037431161791982	0.2090422745287909	-9.106976665224717	8.47096048388417e-20	1.9231523844710492e-17
AT1G07380	420.20963169274404	1.351493597575595	0.14858429412319688	9.095803870461708	9.388931208191427e-20	2.1112576643486455e-17
AT3G10020	974.9047892398378	1.362372290305809	0.1510837684988166	9.01733060965103	1.9272808583610123e-19	4.292927202524704e-17
AT1G18260	1119.3339676457895	1.0705339843591903	0.11891237192927978	9.002713233202211	2.202069606455076e-19	4.8591649979449344e-17
AT2G41190	150.87892190897875	2.1985137376924104	0.24513245475633544	8.968676709404958	3.000979805241452e-19	6.560753164958882e-17
AT5G07760	60.20723589997027	4.98433004655136	0.5605451223830485	8.891933668714216	6.00545418620726e-19	1.300869530188437e-16
AT1G10160	71.02268127357455	-3.8420845870235194	0.434103132614055	-8.850626264518056	8.702953961926312e-19	1.8596502892769955e-16
AT2G02765	81.62595294796778	-3.2568493467247137	0.3680006184934448	-8.850119220065192	8.742585325049617e-19	1.8596502892769955e-16
AT1G78970	222.65496331936723	2.0929084838143313	0.23838195379375382	8.779643133662287	1.6399416702236407e-18	3.4572020335402125e-16
AT3G08590	2552.137214903648	0.8023940877434133	0.09154219862882976	8.765291851868543	1.8629342204771874e-18	3.8925433521846785e-16
AT5G46890	406.0188070726917	-2.2439582848330413	0.25816289409288345	-8.692024826874214	3.5603625109280244e-18	7.374010460133472e-16
AT5G43320	1184.1760717581976	-0.8736609268307093	0.10067521579604567	-8.678013947351529	4.027396616850505e-18	8.268770566996284e-16
AT3G16380	86.39561680733334	-2.9960572095192175	0.3458076792217117	-8.663940651237883	4.557306997056354e-18	9.27608409547393e-16
AT4G00895	878.358964777344	-1.1580961041972415	0.1339570553931276	-8.645278897767227	5.367403552914224e-18	1.0831603870757072e-15
AT5G43830	1585.2196405973511	-0.8613406178215112	0.0996564600369667	-8.643098676212304	5.4708631874480454e-18	1.094682633210473e-15
AT2G20360	1960.5114620869902	-0.851954111252985	0.09858225928140611	-8.642063160888366	5.52068935741282e-18	1.0953697177972613e-15
AT2G46750	258.50693519343565	-1.620684020556068	0.18787944151047634	-8.626191389150458	6.3428842397733574e-18	1.2480153315440727e-15
AT4G07820	62.76033706530016	-5.651789955222977	0.6576637464797424	-8.593738039347842	8.41848286573039e-18	1.642717346634382e-15
AT1G02300	516.5887102260992	1.3853083355674354	0.16265278182344514	8.516966756038315	1.6378648975126685e-17	3.169805581571444e-15
AT3G56680	809.9607407222824	-1.1045381344779373	0.13059243827535125	-8.457902686134425	2.722291388733804e-17	5.225692843853159e-15
AT3G23800	313.5750944649892	1.481247976798732	0.17537917023936866	8.445974369573253	3.015198474457784e-17	5.741278321001834e-15
AT1G27760	789.463582303764	-1.0742782370409447	0.12772757582954813	-8.410699334610124	4.0757326633068726e-17	7.698569913067086e-15
AT3G16190	204.83024602513012	-1.867938237291305	0.22305418136684022	-8.374369966278504	5.552008672695358e-17	1.040384736277858e-14
AT2G15560	195.27138496046933	-1.7473897222977646	0.20910731404811875	-8.356425648008008	6.464714675056619e-17	1.2018769936437937e-14
AT2G39700	1451.9615659204478	-0.9422362565956927	0.11281156067869409	-8.352302290004982	6.694506360057647e-17	1.2348749192759461e-14
AT3G53310	90.23589040246708	2.74736880168665	0.329794499372059	8.330547680200072	8.046921757859035e-17	1.4728361986419355e-14
AT2G03440	1280.0742366473123	-1.1324126583440268	0.13620969221419532	-8.31374507889836	9.27282302962874e-17	1.6841586504043397e-14
AT2G28910	1904.5326011675522	-0.8488508215185816	0.10213167425000858	-8.31133757232527	9.462930895110552e-17	1.7055668806446965e-14
AT5G43070	83.72334374331561	-2.7520758234796356	0.3325246273602696	-8.276306766590054	1.270544233236275e-16	2.2726378705258853e-14
AT1G17745	1491.4327198789395	0.9362306350069767	0.11334751046739824	8.259825303143835	1.4588582293144068e-16	2.5705299740554076e-14
AT5G45420	348.7078579055781	-1.450342790051065	0.17558402545896948	-8.260106728160082	1.455422731538038e-16	2.5705299740554076e-14
AT1G64110	96.45364636233505	2.5563159478733004	0.3095795050326272	8.257381080843466	1.4890343382821022e-16	2.6042659082354604e-14
AT2G25810	848.9201371022789	1.2205906471036747	0.14817245167774282	8.237635493528257	1.756473532211226e-16	3.0494188653705336e-14
AT1G05243	64.80872437285541	-6.514897620878476	0.7925367120347515	-8.220310203867008	2.0297747601096702e-16	3.498176048244483e-14
AT1G66280	1481.3893429235322	-0.8683929665182463	0.10616783320893579	-8.179435712974092	2.851761664325319e-16	4.879198888143848e-14
AT5G48570	77.44003743913393	-3.328489681528838	0.4071379728063299	-8.175335890646968	2.9504276860525897e-16	5.011694107581848e-14
AT1G15380	331.960231158132	-1.656815668576419	0.20297520484460782	-8.162650555494357	3.277516683492591e-16	5.527531886710255e-14
AT5G48530	50.77754240094794	-4.4527721033988366	0.5457576986373168	-8.158880973217247	3.3814265896699165e-16	5.662330724021021e-14
AT5G45600	241.48278092179876	-1.5403064462361375	0.18950180604345263	-8.12818874076032	4.357523680156202e-16	7.245457155786485e-14
AT2G01020	234.94959445885857	1.8088648016966553	0.22396715640822004	8.076473491495676	6.666664629979867e-16	1.1007455844647177e-13
AT5G44110	361.5488374247244	-2.061922520426885	0.25552285424583926	-8.06942504815285	7.062997644416063e-16	1.1580863707104698e-13
AT3G52870	470.82243826231263	1.323901889831598	0.16414394655105655	8.065493231087883	7.294077790992902e-16	1.1877273842974717e-13
AT3G26290	715.1557617007832	-1.4454836137054565	0.179693331545478	-8.044169481824225	8.683227941302613e-16	1.4042444857677806e-13
AT5G06245	51.49809589909292	-5.399602252528611	0.6723568338231634	-8.030857992214237	9.679333937793392e-16	1.5546853986751007e-13
AT5G15780	676.2846718320349	1.1232891319103206	0.1399434204740051	8.02673772089896	1.000987686241768e-15	1.596913531071242e-13
AT3G25980	224.4140221918364	-2.0894188956926754	0.2605783246788932	-8.018391008797202	1.0713928893893502e-15	1.6977622490853657e-13
AT2G39570	955.5973421370056	-0.9337386468355452	0.11649143732549617	-8.015513142193674	1.0967813773909885e-15	1.7264070067719085e-13
AT3G62750	557.1889276524732	-1.4064112411789984	0.175964896178861	-7.992567106961151	1.321575318378713e-15	2.0664711816052843e-13
AT3G20090	203.6007234636487	1.6350032197175561	0.2047720583201367	7.984503516399799	1.4108900055300427e-15	2.191613415826963e-13
AT2G20800	55.59063225138823	4.062382947356393	0.5095515996200624	7.972466282875832	1.5553867933370996e-15	2.400276965848514e-13
AT2G10410	695.8901864929337	-9.541157994829117	1.2055669184758862	-7.914250008528216	2.4874799897976745e-15	3.813759093448889e-13
AT2G23130	218.5159723123937	-1.9477289451023734	0.2463288969724303	-7.907025805910087	2.6361099542521928e-15	4.015560782570873e-13
AT1G14530	56.06839834807474	-4.964509669498327	0.6300181735142737	-7.879946766941717	3.2752058254604145e-15	4.957107996470888e-13
AT1G24490	372.5230861930263	-1.172220049306725	0.1487912715583993	-7.878285043398118	3.319048764886127e-15	4.991468814504864e-13
AT4G33070	395.95421747704546	1.253800103621954	0.1596760529091781	7.852148652090623	4.089693359201163e-15	6.111503158487257e-13
AT3G44970	366.5119148490448	-1.3762079968145442	0.17538144491567323	-7.8469418328503995	4.263048515342057e-15	6.330492987153541e-13
AT1G51680	2533.1613885093952	0.7007033558652239	0.08949839934660021	7.829227796037021	4.9087553948817345e-15	7.24378897678454e-13
AT5G49550	52.620278812157025	-4.4549161597978735	0.5693179820452676	-7.825005182154345	5.076360037254147e-15	7.444592350286189e-13
AT2G19800	1085.1189138304642	-1.092981680092913	0.1397632267252787	-7.8202378816088665	5.2723607799296015e-15	7.684303109562828e-13
AT1G14250	159.86066236118714	2.7825718048902788	0.3559561504042806	7.8171758002494025	5.402163410450494e-15	7.825182839518199e-13
AT4G38780	109.22308074794607	2.377866524515729	0.30437257331134493	7.812354768520461	5.612930345025234e-15	8.080908437584805e-13
AT3G45780	1534.7376277728083	-0.8512916972063197	0.10915663208065184	-7.798808748307033	6.249429235450223e-15	8.942743859285771e-13
AT2G42540	87.80380063966638	2.7356516245018514	0.3529553494104991	7.750701693772022	9.138614002617439e-15	1.2998302121433755e-12
AT2G39800	578.233621951485	1.0068524134367967	0.1300534586189124	7.741834966397271	9.799213382159869e-15	1.385444474048962e-12
AT3G26380	159.0731601193675	-2.328109477910014	0.30135257287653794	-7.725533768260955	1.1138560780247656e-14	1.5654318963239724e-12
AT5G59720	68.66708854093898	2.886188757889072	0.3739836733831338	7.717419136990689	1.1870879134352297e-14	1.6584812262792432e-12
AT1G17890	610.4537442482531	-1.0661423277729567	0.1383069095265579	-7.708525419463838	1.2727977123740492e-14	1.767766281580216e-12
AT5G43910	159.40076258212298	-2.383235698658326	0.3095099307767045	-7.7000298267576675	1.3603447404569244e-14	1.878309922042599e-12
AT1G15880	251.9937396132837	-1.469228460261902	0.19128667088699222	-7.680767580140952	1.581381622126534e-14	2.1708140395366043e-12
AT5G45060	328.57181506979316	-1.4823262521593352	0.19362781224398626	-7.655544082125391	1.9249550265415286e-14	2.6271741694608113e-12
AT4G01750	245.9618908450458	-1.6120524142309287	0.21069530296634387	-7.651107507073546	1.992556650211639e-14	2.7038077625371846e-12
AT2G06002	53.782853068616085	3.8921182683038085	0.51099620608619	7.616726351285909	2.6019012770285058e-14	3.5104852029668597e-12
AT5G50130	60.576314126079936	-3.210553576424062	0.4221653923499212	-7.604966287153456	2.8497817093242324e-14	3.8230793147076395e-12
AT1G34315	226.32581375707403	1.5154132430628344	0.1995011952388464	7.59601084719595	3.053989401155177e-14	4.0738838277217455e-12
AT5G21150	72.3851359406711	3.5551364414210007	0.47058406412353265	7.55473190118003	4.1972350711190294e-14	5.567467262033225e-12
AT2G47800	1263.0743059238373	1.128504601842586	0.1495428138250933	7.546364636166976	4.475758122502662e-14	5.903750001698903e-12
AT2G41440	102.66400136375232	-9.098920184363546	1.2062423301917458	-7.54319422940262	4.5859733339876875e-14	6.015523132710182e-12
AT4G00650	75.10207061674723	-2.6413035702095735	0.3506417294010848	-7.532770200286954	4.9674990910481196e-14	6.4799790629136544e-12
AT2G39850	73.30040972252921	-2.903896541152316	0.3865596478220898	-7.512156422723163	5.816123297972058e-14	7.545301493869135e-12
AT2G30750	171.34773336849892	-2.060367420910312	0.2748807866889874	-7.49549448591147	6.604888184980271e-14	8.521749450031102e-12
AT4G00980	45.10401324464432	-4.620463242346936	0.6175170952618251	-7.482324421136675	7.301941599703986e-14	9.369899082098413e-12
